Temp inicial,Temp dec,Numero de itens,Peso Máximo,Solução,Tempo de execução
10000,1,2500,1,0/0,12.834128379821777
10000,1,2500,2,9/1,6.2578229904174805
10000,1,2500,3,18/2,4.051771640777588
10000,1,2500,4,27/3,2.940152645111084
10000,1,2500,5,36/4,2.3786277770996094
10000,1,2500,6,42/5,1.9627563953399658
10000,1,2500,7,49/6,1.6751952171325684
10000,1,2500,8,53/7,1.4873807430267334
10000,1,2500,9,62/8,1.4051949977874756
10000,1,2500,10,75/9,1.1691195964813232
10000,1,2500,11,75/10,1.0991778373718262
10000,1,2500,12,87/11,1.0393621921539307
10000,1,2500,13,86/12,0.9343850612640381
10000,1,2500,14,94/13,0.8752398490905762
10000,1,2500,15,98/14,0.8182551860809326
10000,1,2500,16,113/15,0.7902703285217285
10000,1,2500,17,124/16,0.74912428855896
10000,1,2500,18,116/17,0.7150392532348633
10000,1,2500,19,119/18,0.6722598075866699
10000,1,2500,20,126/19,0.6462078094482422
10000,1,2500,21,132/20,0.6241884231567383
10000,1,2500,22,132/21,0.5949108600616455
10000,1,2500,23,147/22,0.575934648513794
10000,1,2500,24,143/23,0.5569112300872803
10000,1,2500,25,164/24,0.543450117111206
10000,1,2500,26,165/25,0.5122702121734619
10000,1,2500,27,164/26,0.5131933689117432
10000,1,2500,28,164/27,0.48604917526245117
10000,1,2500,29,173/28,0.4802830219268799
10000,1,2500,30,188/29,0.46865200996398926
10000,1,2500,31,191/30,0.4504432678222656
10000,1,2500,32,189/31,0.4938037395477295
10000,1,2500,33,199/32,0.4341874122619629
10000,1,2500,34,201/33,0.47347569465637207
10000,1,2500,35,210/34,0.43668437004089355
10000,1,2500,36,213/35,0.43718624114990234
10000,1,2500,37,210/36,0.4057636260986328
10000,1,2500,38,220/37,0.38727402687072754
10000,1,2500,39,228/38,0.38390398025512695
10000,1,2500,40,227/39,0.3755760192871094
10000,1,2500,41,241/40,0.3625810146331787
10000,1,2500,42,232/41,0.3656156063079834
10000,1,2500,43,247/42,0.35681724548339844
10000,1,2500,44,244/43,0.36474180221557617
10000,1,2500,45,251/44,0.34729623794555664
10000,1,2500,46,265/45,0.3396470546722412
10000,1,2500,47,273/46,0.3283383846282959
10000,1,2500,48,275/47,0.33173465728759766
10000,1,2500,49,283/48,0.3264944553375244
10000,1,2500,50,285/49,0.33268117904663086
10000,1,2500,51,296/50,0.3303263187408447
10000,1,2500,52,295/51,0.31935644149780273
10000,1,2500,53,310/52,0.31766843795776367
10000,1,2500,54,303/53,0.31106019020080566
10000,1,2500,55,288/54,0.3073852062225342
10000,1,2500,56,320/55,0.31914663314819336
10000,1,2500,57,315/56,0.312453031539917
10000,1,2500,58,316/57,0.29750871658325195
10000,1,2500,59,309/58,0.3073759078979492
10000,1,2500,60,322/59,0.294788122177124
10000,1,2500,61,341/60,0.2977900505065918
10000,1,2500,62,314/61,0.29692530632019043
10000,1,2500,63,331/62,0.2857341766357422
10000,1,2500,64,362/63,0.28563857078552246
10000,1,2500,65,359/64,0.2739260196685791
10000,1,2500,66,345/65,0.2755422592163086
10000,1,2500,67,361/66,0.27992963790893555
10000,1,2500,68,355/67,0.2771599292755127
10000,1,2500,69,351/68,0.280001163482666
10000,1,2500,70,348/69,0.2713630199432373
10000,1,2500,71,362/70,0.26310110092163086
10000,1,2500,72,353/71,0.2867875099182129
10000,1,2500,73,370/72,0.2675971984863281
10000,1,2500,74,377/73,0.2707700729370117
10000,1,2500,75,401/74,0.2901930809020996
10000,1,2500,76,394/75,0.2908477783203125
10000,1,2500,77,421/76,0.25345468521118164
10000,1,2500,78,401/77,0.2651863098144531
10000,1,2500,79,362/78,0.2612802982330322
10000,1,2500,80,442/79,0.24753117561340332
10000,1,2500,81,399/80,0.2478804588317871
10000,1,2500,82,402/81,0.24982500076293945
10000,1,2500,83,414/82,0.24615478515625
10000,1,2500,84,451/83,0.24318718910217285
10000,1,2500,85,411/84,0.24318218231201172
10000,1,2500,86,436/85,0.23686933517456055
10000,1,2500,87,434/86,0.24428129196166992
10000,1,2500,88,441/87,0.2616109848022461
10000,1,2500,89,408/88,0.24507951736450195
10000,1,2500,90,434/89,0.23554563522338867
10000,1,2500,91,448/90,0.23360323905944824
10000,1,2500,92,471/91,0.23500633239746094
10000,1,2500,93,448/92,0.23499202728271484
10000,1,2500,94,460/93,0.2336111068725586
10000,1,2500,95,467/94,0.2331233024597168
10000,1,2500,96,441/95,0.23627829551696777
10000,1,2500,97,457/96,0.23436880111694336
10000,1,2500,98,463/97,0.2284712791442871
10000,1,2500,99,487/98,0.24063491821289062
