Tamanho População,Solução,Tempo de execução
2,4,0.0008482933044433594
3,0,0.0003917217254638672
4,19,0.0018558502197265625
5,13,0.0012722015380859375
6,12,0.0063934326171875
7,18,0.007570028305053711
8,17,0.0010313987731933594
9,24,0.019130945205688477
10,0,0.0009021759033203125
11,24,0.012557029724121094
12,12,0.028797149658203125
13,19,0.03500676155090332
14,17,0.040741682052612305
15,17,0.045226335525512695
16,17,0.014780282974243164
17,19,0.08312726020812988
18,18,0.054662466049194336
19,18,0.07702898979187012
20,19,0.09569883346557617
21,24,0.11740493774414062
22,19,0.10318827629089355
23,14,0.17697715759277344
24,19,0.13886547088623047
25,18,0.14033770561218262
26,24,0.16398191452026367
27,17,0.13186430931091309
28,19,0.19728803634643555
29,24,0.2250194549560547
30,24,0.20520710945129395
31,24,0.25139617919921875
32,24,0.194657564163208
33,24,0.276134729385376
34,24,0.2730422019958496
35,19,0.3115499019622803
36,24,0.2937960624694824
37,18,0.31146693229675293
38,24,0.27118992805480957
39,18,0.3490183353424072
40,19,0.3209555149078369
41,24,0.3301684856414795
42,24,0.4459059238433838
43,24,0.4499492645263672
44,19,0.41881227493286133
45,24,0.4562408924102783
46,24,0.521826982498169
47,24,0.5561048984527588
48,24,0.5574886798858643
49,24,0.5634109973907471
50,24,0.5573699474334717
51,24,0.62624192237854
52,24,0.5956661701202393
53,24,0.685678243637085
54,24,0.7022314071655273
55,24,0.6541965007781982
56,24,0.6043047904968262
57,19,0.7964537143707275
58,24,0.8098711967468262
59,24,0.6978821754455566
60,24,0.8141226768493652
61,24,0.8974111080169678
62,24,0.8791556358337402
63,24,0.8404927253723145
64,24,0.9379851818084717
65,17,0.9074275493621826
66,24,0.8905441761016846
67,24,1.0213208198547363
68,24,1.0671391487121582
69,24,1.0073106288909912
70,24,1.1396806240081787
71,24,1.14503812789917
72,24,1.2845759391784668
73,19,1.1465187072753906
74,24,1.2501811981201172
75,24,1.2314276695251465
76,24,1.3294315338134766
77,24,1.342804193496704
78,24,1.4606714248657227
79,24,1.3019511699676514
80,24,1.4067718982696533
81,24,1.5173592567443848
82,24,1.622812032699585
83,24,1.509190320968628
84,24,1.5167820453643799
85,24,1.6964375972747803
86,24,1.6106271743774414
87,24,1.8027839660644531
88,24,1.7908029556274414
89,24,1.78596830368042
90,24,1.855360507965088
91,24,1.986241340637207
92,19,1.9314982891082764
93,24,1.8856415748596191
94,24,2.0350358486175537
95,24,2.103933572769165
96,24,2.0730183124542236
97,24,2.243513584136963
98,24,2.176590919494629
99,24,1.9888584613800049
100,24,2.328986167907715
101,24,2.6675148010253906
102,24,2.165621757507324
103,24,2.4454245567321777
104,24,2.492795705795288
105,24,2.5208451747894287
106,24,2.2176148891448975
107,24,2.685272216796875
108,24,2.5498251914978027
109,24,2.6449596881866455
110,24,2.508678913116455
111,24,2.7066774368286133
112,24,2.997999906539917
113,24,2.9835755825042725
114,24,3.1580452919006348
115,24,3.3152270317077637
116,24,3.1486783027648926
117,24,3.3251874446868896
118,24,3.2921361923217773
119,24,3.2515149116516113
120,24,3.334636926651001
121,24,3.3502771854400635
122,24,3.3227896690368652
123,24,3.4889352321624756
124,24,3.675119400024414
125,24,3.325713872909546
126,24,3.66951847076416
127,24,3.7078821659088135
128,24,3.8294789791107178
129,24,3.758918523788452
130,24,3.9486069679260254
131,24,4.256550312042236
132,24,4.144867658615112
133,24,3.9248039722442627
134,24,4.207932710647583
135,24,4.379362106323242
136,24,4.189586162567139
137,24,4.179055690765381
138,24,4.255072355270386
139,24,4.2935731410980225
140,24,4.599795341491699
141,24,4.887969970703125
142,24,4.931836128234863
143,24,4.79387092590332
144,24,4.80497932434082
145,24,5.261896371841431
146,24,4.8585898876190186
147,24,5.195363759994507
148,24,5.251708507537842
149,24,5.384262561798096
150,24,5.466667175292969
300,24,21.151068210601807
301,24,22.020046710968018
302,24,21.443186044692993
